route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
6Q,Tije,6Q,Galunggung - Casablanca via Epicentrum Raya,Angkutan Umum Integrasi,3,,4CAC67,000000
6T,Tije,6T,Pasar Minggu - Velbak via Jeruk Purut,Angkutan Umum Integrasi,3,,4CAC67,000000
6U,Tije,6U,Blok M - Pasar Minggu,Angkutan Umum Integrasi,3,,4CAC67,000000
6V,Tije,6V,Ragunan - Gelora Bung Karno,BRT,3,,1BAC47,FFFFFF
6W,Tije,6W,Duren Tiga - Blok M via Bangka Raya,Angkutan Umum Integrasi,3,,4CAC67,000000
7A,Tije,7A,Kampung Rambutan - Lebak Bulus,Angkutan Umum Integrasi,3,,916131,FFFFFF
7B,Tije,7B,Kampung Rambutan - Blok M,Angkutan Umum Integrasi,3,,916131,FFFFFF
7C,Tije,7C,Cibubur - Cawang Cililitan,Angkutan Umum Integrasi,3,,916131,FFFFFF
7D,Tije,7D,TMII - Tegal Parang,Angkutan Umum Integrasi,3,,916131,FFFFFF
7E,Tije,7E,Kampung Rambutan - Ragunan,Angkutan Umum Integrasi,3,,916131,FFFFFF
7F,Tije,7F,Kampung Rambutan - Juanda via Cempaka Putih,BRT,3,,914900,FFFFFF
7P,Tije,7P,Pondok Kelapa - Cawang Sentral,Angkutan Umum Integrasi,3,,916131,FFFFFF
7Q,Tije,7Q,Blok M - PGC,Angkutan Umum Integrasi,3,,916131,FFFFFF
7R,Tije,7R,Cibubur - Pluit,Angkutan Umum Integrasi,3,,916131,FFFFFF
7T,Tije,7T,Cibubur - Tanjung Priok,Angkutan Umum Integrasi,3,,916131,FFFFFF
7U,Tije,7U,Cibubur - Ancol,Angkutan Umum Integrasi,3,,916131,FFFFFF
7V,Tije,7V,Cibubur - Kampung Rambutan,Angkutan Umum Integrasi,3,,916131,FFFFFF
7W,Tije,7W,Cawang - St. Kereta Cepat Halim,Angkutan Umum Integrasi,3,,FFFF6D,000000
8A,Tije,8A,Jelambar - Juanda,BRT,3,,DD3393,FFFFFF
8C,Tije,8C,Kebayoran - Tanah Abang,Angkutan Umum Integrasi,3,,DD6AAB,000000
8D,Tije,8D,Joglo - Blok M,Angkutan Umum Integrasi,3,,DD6AAB,000000
8E,Tije,8E,Bintaro - Blok M,Angkutan Umum Integrasi,3,,DD6AAB,000000
8K,Tije,8K,Batusari - Jelambar,Angkutan Umum Integrasi,3,,DD6AAB,000000
8M,Tije,8M,Tanjung Duren - Tanah Abang,Angkutan Umum Integrasi,3,,DD6AAB,000000
9A,Tije,9A,Cililitan - Kali Grogol,BRT,3,,45A49E,FFFFFF
9C,Tije,9C,Pinang Ranti - Bundaran Senayan,BRT,3,,45A49E,FFFFFF
9D,Tije,9D,Pasar Minggu - Tanah Abang,Angkutan Umum Integrasi,3,,66A4A0,FFFFFF
9E,Tije,9E,Kebayoran Lama - Jelambar,Angkutan Umum Integrasi,3,,66A4A0,FFFFFF
9F,Tije,9F,Rusun Tambora - Pluit,Rusun,3,,85A4A2,000000
9H,Tije,9H,Cipedak - Pasar Minggu,Angkutan Umum Integrasi,3,,66A4A0,FFFFFF
9N,Tije,9N,Pinang Ranti - Simpang Cawang,BRT,3,,66A4A0,FFFFFF
9ST,Tije,9ST,Pesing - Kali Grogol,BRT,3,,45A49E,FFFFFF
B11,Tije,B11,Summarecon Bekasi - Cawang,Transjabodetabek,3,,FFFF6D,000000
B13,Tije,B13,Bekasi Barat - Blok M,Royaltrans,3,,9C4782,FFFFFF
B14,Tije,B14,Bekasi Barat - Kuningan,Royaltrans,3,,9C4782,FFFFFF
B21,Tije,B21,Bekasi Timur - Cawang,Transjabodetabek,3,,FFFF6D,000000
BW4,Tije,BW4,Pencakar Langit,Bus Wisata,3,,FFB6DB,000000
BW9,Tije,BW9,Kota Tua - PIK,Bus Wisata,3,,FFB6DB,000000
D11,Tije,D11,Depok - Cawang Sentral via Cibubur,Transjabodetabek,3,,FFFF6D,000000
D21,Tije,D21,Universitas Indonesia - Lebak Bulus,Transjabodetabek,3,,FFFF6D,000000
D31,Tije,D31,Cinere - Kuningan,Royaltrans,3,,9C4782,FFFFFF
D32,Tije,D32,Cinere - Bundaran Senayan,Royaltrans,3,,9C4782,FFFFFF
JAK.01,Tije,JAK.01,Tanjung Priok - Plumpang,Mikrotrans,3,,00609C,FFFFFF
JAK.02,Tije,JAK.02,Kampung Melayu - Duren Sawit,Mikrotrans,3,,00609C,FFFFFF
JAK.03,Tije,JAK.03,Lebak Bulus - Andara,Mikrotrans,3,,00609C,FFFFFF
JAK.04,Tije,JAK.04,Grogol - Tubagus Angke,Mikrotrans,3,,00609C,FFFFFF
JAK.05,Tije,JAK.05,Semper - Rorotan,Mikrotrans,3,,00609C,FFFFFF
JAK.06,Tije,JAK.06,Kampung Rambutan - Pondok Gede,Mikrotrans,3,,00609C,FFFFFF
JAK.07,Tije,JAK.07,Tanah Abang - Grogol via Tawakal,Mikrotrans,3,,00609C,FFFFFF
JAK.08,Tije,JAK.08,Roxy - Benhil,Mikrotrans,3,,00609C,FFFFFF
JAK.09,Tije,JAK.09,Roxy Mas - Karet,Mikrotrans,3,,00609C,FFFFFF
JAK.10,Tije,JAK.10,Tanah Abang - Kota,Mikrotrans,3,,00609C,FFFFFF
JAK.100,Tije,JAK.100,Term. Pulo Gebang - Rusun Pinus Elok,Mikrotrans,3,,00609C,FFFFFF
JAK.102,Tije,JAK.102,Blok M - Lebak Bulus,Mikrotrans,3,,00609C,FFFFFF
JAK.105,Tije,JAK.105,Stasiun Tebet - Rusun Cipinang Muara,Mikrotrans,3,,00609C,FFFFFF
JAK.106,Tije,JAK.106,Term. Kampung Melayu - Term. Klender,Mikrotrans,3,,00609c,FFFFFF
JAK.108,Tije,JAK.108,Kramat Jati - Bambu Apus,Mikrotrans,3,,00609C,FFFFFF
JAK.10A,Tije,JAK.10A,Gondangdia - Cikini via Salemba Raya,Mikrotrans,3,,00609C,FFFFFF
JAK.10B,Tije,JAK.10B,Gondangdia - Cikini via Kramat Raya,Mikrotrans,3,,00609C,FFFFFF
JAK.11,Tije,JAK.11,Tanah Abang - Kebayoran Lama,Mikrotrans,3,,00609C,FFFFFF
JAK.110A,Tije,JAK.110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,Mikrotrans,3,,00609C,FFFFFF
JAK.112,Tije,JAK.112,Terminal Tanah Merah - Pulo Gadung,Mikrotrans,3,,00609C,FFFFFF
JAK.113,Tije,JAK.113,Rusun Sindang Koja - Kampung Sawah,Mikrotrans,3,,00609C,FFFFFF
JAK.115,Tije,JAK.115,Term. Tj. Priok - Pegangsaan II IGI,Mikrotrans,3,,00609C,FFFFFF
JAK.117,Tije,JAK.117,Tanjung Priok - Tanah Merdeka,Mikrotrans,3,,00609C,FFFFFF
JAK.118,Tije,JAK.118,Taman Waduk Papanggo - Kota Tua,Mikrotrans,3,,00609C,FFFFFF
JAK.12,Tije,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,Mikrotrans,3,,00609C,FFFFFF
JAK.120,Tije,JAK.120,JIS - Term. Muara Angke,Mikrotrans,3,,00609C,FFFFFF
JAK.13,Tije,JAK.13,Tanah Abang - Jembatan Lima,Mikrotrans,3,,00609C,FFFFFF
JAK.14,Tije,JAK.14,Tanah Abang - Meruya,Mikrotrans,3,,00609C,FFFFFF
JAK.15,Tije,JAK.15,Tanjung Priok - Bulak Turi,Mikrotrans,3,,00609C,FFFFFF
JAK.16,Tije,JAK.16,Cililitan - Condet,Mikrotrans,3,,00609C,FFFFFF
JAK.17,Tije,JAK.17,Senen - Pulo Gadung,Mikrotrans,3,,00609C,FFFFFF
JAK.18,Tije,JAK.18,Kalibata - Kuningan,Mikrotrans,3,,00609C,FFFFFF
JAK.19,Tije,JAK.19,Pinang Ranti - Kampung Rambutan,Mikrotrans,3,,00609C,FFFFFF
JAK.20,Tije,JAK.20,Cawang Sentral - Lubang Buaya,Mikrotrans,3,,00609C,FFFFFF
JAK.21,Tije,JAK.21,Cililitan - Dwikora,Mikrotrans,3,,00609C,FFFFFF
JAK.22,Tije,JAK.22,Dwikora - Halim,Mikrotrans,3,,00609C,FFFFFF
JAK.23,Tije,JAK.23,Senen - Pisangan Baru,Mikrotrans,3,,00609c,FFFFFF
JAK.24,Tije,JAK.24,Senen - Pulo Gadung via Kelapa Gading,Mikrotrans,3,,00609C,FFFFFF
JAK.25,Tije,JAK.25,Kampung Rambutan - Kalisari,Mikrotrans,3,,00609C,FFFFFF
JAK.26,Tije,JAK.26,Rawamangun - Duren Sawit,Mikrotrans,3,,00609C,FFFFFF
JAK.27,Tije,JAK.27,Pulo Gebang - Rorotan,Mikrotrans,3,,00609C,FFFFFF
JAK.28,Tije,JAK.28,Pasar Rebo - St. LRT Harjamukti,Mikrotrans,3,,00609C,FFFFFF
JAK.29,Tije,JAK.29,Tanjung Priok - Sukapura,Mikrotrans,3,,00609C,FFFFFF
JAK.30,Tije,JAK.30,Grogol - Meruya via Roxy,Mikrotrans,3,,00609C,FFFFFF
JAK.31,Tije,JAK.31,Blok M - Andara,Mikrotrans,3,,00609C,FFFFFF
JAK.32,Tije,JAK.32,Lebak Bulus - Petukangan,Mikrotrans,3,,00609C,FFFFFF
JAK.33,Tije,JAK.33,Pulo Gadung - Kota,Mikrotrans,3,,00609C,FFFFFF
JAK.34,Tije,JAK.34,Rawamangun - Klender,Mikrotrans,3,,00609C,FFFFFF
JAK.35,Tije,JAK.35,Pangkalan Jati - Rawamangun,Mikrotrans,3,,00609C,FFFFFF
JAK.36,Tije,JAK.36,Cilangkap - Cililitan,Mikrotrans,3,,00609C,FFFFFF
JAK.37,Tije,JAK.37,Cililitan - Condet via Kayu Manis,Mikrotrans,3,,00609C,FFFFFF
JAK.38,Tije,JAK.38,Bulak Ringin - Kampung Rambutan,Mikrotrans,3,,00609C,FFFFFF
JAK.39,Tije,JAK.39,Kalimalang - Duren Sawit,Mikrotrans,3,,00609C,FFFFFF
JAK.40,Tije,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,Mikrotrans,3,,00609C,FFFFFF
JAK.41,Tije,JAK.41,Kampung Melayu - Pulo Gadung,Mikrotrans,3,,00609C,FFFFFF
JAK.42,Tije,JAK.42,Kampung Melayu - Pondok Kelapa,Mikrotrans,3,,00609C,FFFFFF
JAK.43B,Tije,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,Mikrotrans,3,,00609C,FFFFFF
JAK.43C,Tije,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,Mikrotrans,3,,00609C,FFFFFF
JAK.44,Tije,JAK.44,Andara - Stasiun Universitas Pancasila,Mikrotrans,3,,00609C,FFFFFF
JAK.45,Tije,JAK.45,Lebak Bulus - Ragunan,Mikrotrans,3,,00609C,FFFFFF
JAK.46,Tije,JAK.46,Pasar Minggu - Jagakarsa,Mikrotrans,3,,00609C,FFFFFF
JAK.47,Tije,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,Mikrotrans,3,,00609C,FFFFFF
JAK.48A,Tije,JAK.48A,Stasiun Tebet - Karet,Mikrotrans,3,,00609c,FFFFFF
JAK.49,Tije,JAK.49,Lebak Bulus - Cipulir,Mikrotrans,3,,00609C,FFFFFF
JAK.50,Tije,JAK.50,Kalideres - Puri Kembangan,Mikrotrans,3,,00609C,FFFFFF
JAK.51,Tije,JAK.51,Taman Kota - Budi Luhur,Mikrotrans,3,,00609C,FFFFFF
JAK.52,Tije,JAK.52,Kalideres - Muara Angke,Mikrotrans,3,,00609C,FFFFFF
JAK.53,Tije,JAK.53,Grogol - Pos Pengumben via Slipi,Mikrotrans,3,,00609C,FFFFFF
JAK.54,Tije,JAK.54,Grogol - Benhil,Mikrotrans,3,,00609C,FFFFFF
JAK.56,Tije,JAK.56,Grogol - Srengseng,Mikrotrans,3,,00609C,FFFFFF
JAK.58,Tije,JAK.58,Cilincing - Rorotan,Mikrotrans,3,,00609C,FFFFFF
JAK.59,Tije,JAK.59,Rawamangun - Tanah Merah,Mikrotrans,3,,00609C,FFFFFF
JAK.60,Tije,JAK.60,Kelapa Gading - Rusun Kemayoran,Mikrotrans,3,,00609C,FFFFFF
JAK.61,Tije,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,Mikrotrans,3,,00609C,FFFFFF
JAK.64,Tije,JAK.64,Lenteng Agung - Aseli,Mikrotrans,3,,00609C,FFFFFF
JAK.71,Tije,JAK.71,Kampung Rambutan - Pinang Ranti,Mikrotrans,3,,00609C,FFFFFF
JAK.72,Tije,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,Mikrotrans,3,,00609C,FFFFFF
JAK.73,Tije,JAK.73,St. LRT Harjamukti - Kramat Jati,Mikrotrans,3,,00609C,FFFFFF
JAK.74,Tije,JAK.74,Terminal Rawamangun - Cipinang Muara,Mikrotrans,3,,00609C,FFFFFF
JAK.75,Tije,JAK.75,Cililitan - Kampung Pulo,Mikrotrans,3,,00609C,FFFFFF
JAK.76,Tije,JAK.76,Jln. Industri Raya - Perintis Kemerdekaan,Mikrotrans,3,,00609C,FFFFFF
JAK.77,Tije,JAK.77,Tanjung Priok - Jembatan Item,Mikrotrans,3,,00609C,FFFFFF
JAK.80,Tije,JAK.80,Rawa Buaya - Rawa Kompeni,Mikrotrans,3,,00609C,FFFFFF
JAK.84,Tije,JAK.84,Terminal Kampung Melayu - Kapin Raya,Mikrotrans,3,,00609C,FFFFFF
JAK.85,Tije,JAK.85,Bintara - Cipinang Indah,Mikrotrans,3,,00609C,FFFFFF
JAK.86,Tije,JAK.86,Term. Rawamangun - Term. Manggarai,Mikrotrans,3,,00609C,FFFFFF
JAK.87,Tije,JAK.87,Terminal Tanjung Priok - Terminal Rawamangun,Mikrotrans,3,,00609C,FFFFFF
JAK.88,Tije,JAK.88,Terminal Tanjung Priok - Ancol Barat,Mikrotrans,3,,00609C,FFFFFF
JAK.89,Tije,JAK.89,Terminal Tanjung Priok - Taman Kota Intan,Mikrotrans,3,,00609C,FFFFFF
JAK.90,Tije,JAK.90,Terminal Tanjung Priok - Rusun Kemayoran,Mikrotrans,3,,00609C,FFFFFF
JAK.98,Tije,JAK.98,Term. Kampung Rambutan - Munjul,Mikrotrans,3,,00609C,FFFFFF
JAK.99,Tije,JAK.99,Term. Pulo Gadung - Lampiri,Mikrotrans,3,,00609C,FFFFFF
14A,Tije,14A,Juanda - Jakarta International Stadium,Angkutan Umum Integrasi,3,,F5AB6E,000000
L13E,Tije,L13E,Puri Beta 2 - Flyover Kuningan (Express),BRT,3,,7A357B,FFFFFF
M1,Tije,M1,Blok M - Kota,BRT,3,,24FF24,000000
M10,Tije,M10,PGC - Tanjung Priok,BRT,3,,24FF24,000000
M11,Tije,M11,Pulo Gebang - Kampung Melayu,BRT,3,,24FF24,000000
M12,Tije,M12,Sunter Boulevard Barat - Penjaringan,BRT,3,,24FF24,000000
M13,Tije,M13,Puri Beta 2 - Tegal Mampang,BRT,3,,24FF24,000000
M2,Tije,M2,Pulo Gadung - Monas,BRT,3,,24FF24,000000
M3,Tije,M3,Kalideres - Monas via Veteran,BRT,3,,24FF24,000000
M4,Tije,M4,Pulo Gadung - Galunggung,BRT,3,,24FF24,000000
M5,Tije,M5,Cililitan - Ancol,BRT,3,,24FF24,000000
M6,Tije,M6,Ragunan - Galunggung,BRT,3,,24FF24,000000
M7,Tije,M7,Kampung Rambutan - Kampung Melayu,BRT,3,,24FF24,000000
M8,Tije,M8,Lebak Bulus - Pasar Baru,BRT,3,,24FF24,000000
M9,Tije,M9,Pinang Ranti - Pluit,BRT,3,,24FF24,000000
S11,Tije,S11,BSD - Jelambar,Transjabodetabek,3,,FFFF6D,000000
S12,Tije,S12,Term. BSD - Fatmawati,Royaltrans,3,,9C4782,FFFFFF
S13,Tije,S13,Summarecon Serpong - Tomang Raya,Royaltrans,3,,9C4782,FFFFFF
S14,Tije,S14,Summarecon Serpong - Lebak Bulus,Royaltrans,3,,9C4782,FFFFFF
S21,Tije,S21,Ciputat - CSW,Transjabodetabek,3,,FFFF6D,000000
S22,Tije,S22,Ciputat - Kampung Rambutan,Transjabodetabek,3,,FFFF6D,000000
S31,Tije,S31,Bintaro - Fatmawati,Royaltrans,3,,9C4782,FFFFFF
SH1,Tije,SH1,Kalideres - Perkantoran Soekarno-Hatta,Transjabodetabek,3,,FDDB6A,000000
T11,Tije,T11,Poris Plawad - Petamburan,Transjabodetabek,3,,FFFF6D,000000
T12,Tije,T12,Poris Plawad - Juanda,Transjabodetabek,3,,FFFF6D,000000
BW1,Tije,BW1,Sejarah Jakarta,Bus Wisata,3,,FFB6DB,000000
BW2,Tije,BW10,Monas Explorer,Bus Wisata,3,,FFB6DB,000000
JAK.95,Tije,JAK.95,Term. Lebak Bulus - Term. Pasar Minggu,Mikrotrans,3,,00609C,FFFFFF
JAK.93,Tije,JAK.93,Jeruk Purut - Kebayoran Lama,Mikrotrans,3,,00609C,FFFFFF
M14,Tije,M14,Jakarta International Stadium - Senen,BRT,3,,24FF24,000000
3D,Tije,3D,Taman Kota - Penjaringan via Tubagus Angke,Angkutan Umum Integrasi,3,,FDDB6A,000000
10M,Tije,10M,Pulo Gadung - Walikota Jakarta Utara via Tipar Cakung,Angkutan Umum Integrasi,3,,9B1F21,FFFFFF
